codeName,codeType,faceValue,numberShares,codeNum,date,closed,updown,delta,open,high,low,volume
삼성전자,코스피,5000,147299,005930,2014.08.07,1290000,down,10000,1300000,1302000,1285000,190545
삼성전자,코스피,5000,147299,005930,2014.08.08,1250000,down,40000,1284000,1285000,1248000,412429
삼성전자,코스피,5000,147299,005930,2014.08.11,1270000,up,20000,1275000,1282000,1257000,372385
삼성전자,코스피,5000,147299,005930,2014.08.12,1266000,down,4000,1270000,1294000,1262000,179914
삼성전자,코스피,5000,147299,005930,2014.08.13,1264000,down,2000,1275000,1275000,1248000,256900
삼성전자,코스피,5000,147299,005930,2014.08.14,1261000,down,3000,1274000,1282000,1254000,208947
삼성전자,코스피,5000,147299,005930,2014.08.18,1250000,down,11000,1279000,1280000,1250000,210379
삼성전자,코스피,5000,147299,005930,2014.08.19,1254000,up,4000,1264000,1273000,1253000,200888
삼성전자,코스피,5000,147299,005930,2014.08.20,1261000,up,7000,1264000,1271000,1251000,188612
삼성전자,코스피,5000,147299,005930,2014.08.21,1235000,down,26000,1255000,1261000,1231000,342108
삼성전자,코스피,5000,147299,005930,2014.08.22,1247000,up,12000,1245000,1247000,1235000,168153
삼성전자,코스피,5000,147299,005930,2014.08.25,1228000,down,19000,1231000,1231000,1221000,231544
삼성전자,코스피,5000,147299,005930,2014.08.26,1222000,down,6000,1235000,1235000,1221000,214389
삼성전자,코스피,5000,147299,005930,2014.08.27,1230000,up,8000,1223000,1237000,1222000,243420
삼성전자,코스피,5000,147299,005930,2014.08.28,1242000,up,12000,1258000,1258000,1236000,206237
삼성전자,코스피,5000,147299,005930,2014.08.29,1234000,down,8000,1238000,1238000,1228000,291165
삼성전자,코스피,5000,147299,005930,2014.09.01,1226000,down,8000,1236000,1237000,1224000,113281
삼성전자,코스피,5000,147299,005930,2014.09.02,1194000,down,32000,1221000,1225000,1194000,317992
삼성전자,코스피,5000,147299,005930,2014.09.03,1189000,down,5000,1200000,1200000,1180000,424775
삼성전자,코스피,5000,147299,005930,2014.09.04,1210000,up,21000,1210000,1216000,1202000,241999
삼성전자,코스피,5000,147299,005930,2014.09.05,1201000,down,9000,1215000,1216000,1195000,215408
삼성전자,코스피,5000,147299,005930,2014.09.11,1192000,down,9000,1200000,1207000,1192000,466184
삼성전자,코스피,5000,147299,005930,2014.09.12,1201000,up,9000,1200000,1208000,1200000,217447
삼성전자,코스피,5000,147299,005930,2014.09.15,1200000,down,1000,1207000,1208000,1196000,143230
삼성전자,코스피,5000,147299,005930,2014.09.16,1206000,up,6000,1208000,1215000,1201000,141848
삼성전자,코스피,5000,147299,005930,2014.09.17,1226000,up,20000,1207000,1226000,1207000,150915
삼성전자,코스피,5000,147299,005930,2014.09.18,1210000,down,16000,1230000,1230000,1204000,189535
삼성전자,코스피,5000,147299,005930,2014.09.19,1210000,,0,1223000,1223000,1206000,268701
삼성전자,코스피,5000,147299,005930,2014.09.22,1188000,down,22000,1204000,1204000,1180000,320442
삼성전자,코스피,5000,147299,005930,2014.09.23,1161000,down,27000,1178000,1185000,1161000,390828
삼성전자,코스피,5000,147299,005930,2014.09.24,1150000,down,11000,1152000,1161000,1141000,315784
삼성전자,코스피,5000,147299,005930,2014.09.25,1156000,up,6000,1162000,1166000,1147000,388290
삼성전자,코스피,5000,147299,005930,2014.09.26,1185000,up,29000,1152000,1185000,1148000,248271
삼성전자,코스피,5000,147299,005930,2014.09.29,1195000,up,10000,1193000,1200000,1170000,188020
삼성전자,코스피,5000,147299,005930,2014.09.30,1184000,down,11000,1185000,1188000,1165000,247586
삼성전자,코스피,5000,147299,005930,2014.10.01,1156000,down,28000,1174000,1183000,1156000,238596
삼성전자,코스피,5000,147299,005930,2014.10.02,1141000,down,15000,1165000,1165000,1141000,254655
삼성전자,코스피,5000,147299,005930,2014.10.06,1151000,up,10000,1145000,1156000,1138000,425058
삼성전자,코스피,5000,147299,005930,2014.10.07,1162000,up,11000,1162000,1186000,1162000,202983
삼성전자,코스피,5000,147299,005930,2014.10.08,1130000,down,32000,1142000,1151000,1124000,294411
삼성전자,코스피,5000,147299,005930,2014.10.10,1105000,down,25000,1100000,1114000,1099000,436749
삼성전자,코스피,5000,147299,005930,2014.10.13,1108000,up,3000,1082000,1127000,1078000,226895
삼성전자,코스피,5000,147299,005930,2014.10.14,1127000,up,19000,1127000,1146000,1120000,331451
삼성전자,코스피,5000,147299,005930,2014.10.15,1125000,down,2000,1128000,1145000,1120000,282872
삼성전자,코스피,5000,147299,005930,2014.10.16,1115000,down,10000,1116000,1121000,1104000,302966
삼성전자,코스피,5000,147299,005930,2014.10.17,1089000,down,26000,1106000,1115000,1087000,325635
삼성전자,코스피,5000,147299,005930,2014.10.20,1106000,up,17000,1115000,1117000,1101000,189535
삼성전자,코스피,5000,147299,005930,2014.10.21,1083000,down,23000,1094000,1100000,1081000,235321
삼성전자,코스피,5000,147299,005930,2014.10.22,1104000,up,21000,1097000,1104000,1090000,222554
삼성전자,코스피,5000,147299,005930,2014.10.23,1094000,down,10000,1113000,1113000,1090000,170118
삼성전자,코스피,5000,147299,005930,2014.10.24,1112000,up,18000,1103000,1112000,1092000,167569
삼성전자,코스피,5000,147299,005930,2014.10.27,1095000,down,17000,1101000,1111000,1087000,167772
